timestamp;yaw_sp_move_rate;q_d[0];q_d[1];q_d[2];q_d[3];thrust_body[0];thrust_body[1];thrust_body[2];reset_integral;fw_control_yaw_wheel
804185217;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
804234741;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
804284173;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
804333674;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
804383164;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.4252632;0;0
804437169;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
804486618;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.4252632;0;0
804536116;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
804585601;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
804635063;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
804684611;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
804734043;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.4252632;0;0
804788074;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.4252632;0;0
804833021;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
804882559;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
804936611;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
804986116;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
805035586;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
805085058;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
805134561;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
805183993;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
805233490;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
805282965;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
805336896;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.4252632;0;0
805386328;1.3e-44;0.9104679;0.012577614;0.005710188;0.4133489;0.0;0.0;-0.4252632;0;0
805435833;1.3e-44;0.9104679;0.012577614;0.005710188;0.4133489;0.0;0.0;-0.42421055;0;0
805485314;1.3e-44;0.91051626;0.008385234;0.0038068637;0.41337085;0.0;0.0;-0.4252632;0;0
805534822;1.3e-44;0.910528;0.0069877305;0.0031724027;0.4133762;0.0;0.0;-0.4252632;0;0
805584313;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.4252632;0;0
805638265;1.3e-44;0.91043836;-0.01456392;-0.0066119637;0.4133355;0.0;0.0;-0.4252632;0;0
805687759;1.3e-44;0.9082713;-0.064446144;-0.0292583;0.41235167;0.0;0.0;-0.4252632;0;0
805732745;1.3e-44;0.902752;-0.118949495;-0.054002613;0.4098459;0.0;0.0;-0.4252632;0;0
805782210;1.3e-44;0.9053087;-0.09760254;-0.044311177;0.41100666;0.0;0.0;-0.4252632;0;0
805836186;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.4252632;0;0
805885740;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.42421055;0;0
805935176;1.3e-44;0.9105548;0.0;0.0;0.41338837;0.0;0.0;-0.4252632;0;0
805984650;1.3e-44;0.9097266;-0.03882698;-0.017627299;0.41301236;0.0;0.0;-0.4252632;0;0
806034176;1.3e-44;0.9066904;-0.08380069;-0.03804519;0.41163394;0.0;0.0;-0.42421055;0;0
806083650;1.3e-44;0.9098679;-0.03536212;-0.016054265;0.4130765;0.0;0.0;-0.42421055;0;0
806133148;1.3e-44;0.9104151;-0.015950823;-0.0072416123;0.41332495;0.0;0.0;-0.42421055;0;0
806187129;1.3e-44;0.90574527;-0.09346422;-0.042432394;0.41120487;0.0;0.0;-0.42421055;0;0
806236651;1.3e-44;0.9004268;-0.13543124;-0.061485257;0.4087903;0.0;0.0;-0.42421055;0;0
806286076;1.3e-44;0.89370036;-0.17438391;-0.07916962;0.4057365;0.0;0.0;-0.42421055;0;0
806335611;1.3e-44;0.89179003;-0.1839038;-0.08349161;0.40486923;0.0;0.0;-0.42421055;0;0
806385071;1.3e-44;0.8916497;-0.184583;-0.083799966;0.4048055;0.0;0.0;-0.42421055;0;0
806434538;1.3e-44;0.8906529;-0.18933439;-0.08595708;0.404353;0.0;0.0;-0.42421055;0;0
806484060;1.3e-44;0.8903634;-0.19069095;-0.08657295;0.40422156;0.0;0.0;-0.42421055;0;0
806537985;1.3e-44;0.8894827;-0.19475798;-0.08841937;0.4038217;0.0;0.0;-0.42421055;0;0
806583012;1.3e-44;0.88918495;-0.19611275;-0.08903443;0.40368652;0.0;0.0;-0.42421055;0;0
806632504;1.3e-44;0.8873553;-0.20423168;-0.09272039;0.40285587;0.0;0.0;-0.42421055;0;0
