timestamp;unallocated_torque[0];unallocated_torque[1];unallocated_torque[2];unallocated_thrust[0];unallocated_thrust[1];unallocated_thrust[2];handled_motor_failure_mask;torque_setpoint_achieved;thrust_setpoint_achieved;actuator_saturation[0];actuator_saturation[1];actuator_saturation[2];actuator_saturation[3];actuator_saturation[4];actuator_saturation[5];actuator_saturation[6];actuator_saturation[7];actuator_saturation[8];actuator_saturation[9];actuator_saturation[10];actuator_saturation[11];actuator_saturation[12];actuator_saturation[13];actuator_saturation[14];actuator_saturation[15]
924336453;-1.6763806e-08;2.6077032e-08;1.4901161e-08;0.0;0.0;-2.9802322e-08;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
924534466;1.4901161e-08;0.0;0.035814136;0.0;0.0;-2.9802322e-08;0;0;1;0;0;-2;0;2;2;2;2;2;2;2;2;2;2;2;2
924732655;-2.2351742e-08;2.9802322e-08;0.0;0.0;0.0;-2.9802322e-08;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
924936273;-2.9802322e-08;0.0;0.051945955;0.0;0.0;-2.9802322e-08;0;0;1;0;0;0;-2;2;2;2;2;2;2;2;2;2;2;2;2
925134251;0.0;7.450581e-09;-1.4901161e-08;0.0;0.0;0.0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
925336686;9.313226e-10;0.0;-1.4901161e-08;0.0;0.0;2.9802322e-08;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
925534576;0.0;1.1175871e-08;-1.4901161e-08;0.0;0.0;0.0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
925732518;3.7252903e-09;3.7252903e-09;0.0;0.0;0.0;-5.9604645e-08;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
925936501;-3.7252903e-09;-1.4901161e-08;0.0;0.0;0.0;-2.9802322e-08;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
926134389;-2.9802322e-08;-3.7252903e-09;0.0;0.0;0.0;0.0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
926330828;0.0;3.7252903e-09;0.0;0.0;0.0;0.0;0;1;1;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2
926534764;1.4901161e-08;4.4703484e-08;0.12911348;0.0;0.0;0.0;0;0;1;0;0;-2;0;2;2;2;2;2;2;2;2;2;2;2;2
926738748;2.9802322e-08;-2.9802322e-08;0.08521403;0.0;0.0;0.0;0;0;1;0;0;0;-2;2;2;2;2;2;2;2;2;2;2;2;2
