timestamp;armed;prearmed;ready_to_arm;lockdown;manual_lockdown;force_failsafe;in_esc_calibration_mode
627638494;1;0;1;0;0;0;0
628144493;1;0;1;0;0;0;0
628650494;1;0;1;0;0;0;0
629156494;1;0;1;0;0;0;0
629662682;1;0;1;0;0;0;0
630168531;1;0;1;0;0;0;0
630674539;1;0;1;0;0;0;0
631180494;1;0;1;0;0;0;0
631686827;1;0;1;0;0;0;0
632192512;1;0;1;0;0;0;0
632698708;1;0;1;0;0;0;0
633204495;1;0;1;0;0;0;0
633710494;1;0;1;0;0;0;0
634216513;1;0;1;0;0;0;0
634722494;1;0;1;0;0;0;0
635228529;1;0;1;0;0;0;0
636240518;1;0;1;0;0;0;0
636746493;1;0;1;0;0;0;0
637254526;1;0;1;0;0;0;0
637760553;1;0;1;0;0;0;0
638266496;1;0;1;0;0;0;0
638772507;1;0;1;0;0;0;0
639278549;1;0;1;0;0;0;0
639785494;1;0;1;0;0;0;0
640291647;1;0;1;0;0;0;0
640797666;1;0;1;0;0;0;0
641303495;1;0;1;0;0;0;0
641809494;1;0;1;0;0;0;0
642315512;1;0;1;0;0;0;0
642821630;1;0;1;0;0;0;0
643327539;1;0;1;0;0;0;0
643833512;1;0;1;0;0;0;0
644339544;1;0;1;0;0;0;0
644845518;1;0;1;0;0;0;0
645351715;1;0;1;0;0;0;0
645857608;1;0;1;0;0;0;0
646363493;1;0;1;0;0;0;0
646869507;1;0;1;0;0;0;0
647375515;1;0;1;0;0;0;0
647881821;1;0;1;0;0;0;0
648388493;1;0;1;0;0;0;0
648894492;1;0;1;0;0;0;0
649401646;1;0;1;0;0;0;0
649907493;1;0;1;0;0;0;0
650414494;1;0;1;0;0;0;0
650920493;1;0;1;0;0;0;0
651426637;1;0;1;0;0;0;0
651932627;1;0;1;0;0;0;0
652438622;1;0;1;0;0;0;0
652944493;1;0;1;0;0;0;0
653450494;1;0;1;0;0;0;0
653956508;1;0;1;0;0;0;0
654463385;1;0;1;0;0;0;0
654968507;1;0;1;0;0;0;0
655474495;1;0;1;0;0;0;0
655980494;1;0;1;0;0;0;0
656486524;1;0;1;0;0;0;0
656993495;1;0;1;0;0;0;0
657499815;1;0;1;0;0;0;0
658005493;1;0;1;0;0;0;0
658511725;1;0;1;0;0;0;0
659017493;1;0;1;0;0;0;0
659523494;1;0;1;0;0;0;0
660029504;1;0;1;0;0;0;0
660535493;1;0;1;0;0;0;0
661041506;1;0;1;0;0;0;0
661547786;1;0;1;0;0;0;0
662054493;1;0;1;0;0;0;0
662560603;1;0;1;0;0;0;0
663066523;1;0;1;0;0;0;0
663573094;1;0;1;0;0;0;0
664078493;1;0;1;0;0;0;0
664584494;1;0;1;0;0;0;0
665090506;1;0;1;0;0;0;0
665596494;1;0;1;0;0;0;0
666102508;1;0;1;0;0;0;0
666608494;1;0;1;0;0;0;0
667114493;1;0;1;0;0;0;0
667620494;1;0;1;0;0;0;0
668126527;1;0;1;0;0;0;0
668632917;1;0;1;0;0;0;0
669138494;1;0;1;0;0;0;0
669644495;1;0;1;0;0;0;0
670150493;1;0;1;0;0;0;0
670656496;1;0;1;0;0;0;0
671162526;1;0;1;0;0;0;0
671668584;1;0;1;0;0;0;0
672174494;1;0;1;0;0;0;0
672680494;1;0;1;0;0;0;0
673186492;1;0;1;0;0;0;0
673692514;1;0;1;0;0;0;0
674198890;1;0;1;0;0;0;0
674704519;1;0;1;0;0;0;0
675211511;1;0;1;0;0;0;0
675717903;1;0;1;0;0;0;0
676223627;1;0;1;0;0;0;0
676729532;1;0;1;0;0;0;0
677235496;1;0;1;0;0;0;0
677741494;1;0;1;0;0;0;0
678247542;1;0;1;0;0;0;0
678753650;1;0;1;0;0;0;0
679259548;1;0;1;0;0;0;0
679765515;1;0;1;0;0;0;0
680271794;1;0;1;0;0;0;0
680777514;1;0;1;0;0;0;0
681284038;1;0;1;0;0;0;0
681789494;1;0;1;0;0;0;0
682295494;1;0;1;0;0;0;0
682801494;1;0;1;0;0;0;0
683307520;1;0;1;0;0;0;0
683813642;1;0;1;0;0;0;0
684319493;1;0;1;0;0;0;0
684825561;1;0;1;0;0;0;0
685331493;1;0;1;0;0;0;0
685837494;1;0;1;0;0;0;0
686343643;1;0;1;0;0;0;0
686849493;1;0;1;0;0;0;0
687355519;1;0;1;0;0;0;0
687861494;1;0;1;0;0;0;0
688367495;1;0;1;0;0;0;0
688873743;1;0;1;0;0;0;0
689379591;1;0;1;0;0;0;0
689886516;1;0;1;0;0;0;0
690392584;1;0;1;0;0;0;0
690898590;1;0;1;0;0;0;0
691404626;1;0;1;0;0;0;0
691910494;1;0;1;0;0;0;0
692416511;1;0;1;0;0;0;0
692922494;1;0;1;0;0;0;0
693428493;1;0;1;0;0;0;0
693935051;1;0;1;0;0;0;0
694440524;1;0;1;0;0;0;0
694946494;1;0;1;0;0;0;0
695452495;1;0;1;0;0;0;0
695958495;1;0;1;0;0;0;0
696464630;1;0;1;0;0;0;0
696970542;1;0;1;0;0;0;0
697476494;1;0;1;0;0;0;0
697982605;1;0;1;0;0;0;0
698488493;1;0;1;0;0;0;0
698995237;1;0;1;0;0;0;0
699500494;1;0;1;0;0;0;0
700006502;1;0;1;0;0;0;0
700512512;1;0;1;0;0;0;0
701018494;1;0;1;0;0;0;0
701524734;1;0;1;0;0;0;0
702030494;1;0;1;0;0;0;0
702537494;1;0;1;0;0;0;0
703043958;1;0;1;0;0;0;0
703549493;1;0;1;0;0;0;0
