timestamp;defer_failsafes_timeout_s;disable_auto_disarm;defer_failsafes;source_type;source_id
646088510;0;0;0;0;0
646594514;0;0;0;0;0
647100840;0;0;0;0;0
647606492;0;0;0;0;0
648112491;0;0;0;0;0
648619814;0;0;0;0;0
649125492;0;0;0;0;0
649632511;0;0;0;0;0
650138825;0;0;0;0;0
650645493;0;0;0;0;0
651151492;0;0;0;0;0
651657493;0;0;0;0;0
652163493;0;0;0;0;0
652669493;0;0;0;0;0
653175491;0;0;0;0;0
653681514;0;0;0;0;0
654187492;0;0;0;0;0
654693491;0;0;0;0;0
655199611;0;0;0;0;0
655705498;0;0;0;0;0
656211514;0;0;0;0;0
656718524;0;0;0;0;0
657224514;0;0;0;0;0
657730503;0;0;0;0;0
658236505;0;0;0;0;0
658742555;0;0;0;0;0
659248492;0;0;0;0;0
659754492;0;0;0;0;0
660260588;0;0;0;0;0
660766538;0;0;0;0;0
661272495;0;0;0;0;0
661778491;0;0;0;0;0
662285492;0;0;0;0;0
662791492;0;0;0;0;0
663297493;0;0;0;0;0
663803543;0;0;0;0;0
664309588;0;0;0;0;0
664815491;0;0;0;0;0
665321498;0;0;0;0;0
665827491;0;0;0;0;0
666333561;0;0;0;0;0
666839492;0;0;0;0;0
667345497;0;0;0;0;0
667851492;0;0;0;0;0
668357540;0;0;0;0;0
668863524;0;0;0;0;0
669369507;0;0;0;0;0
669875531;0;0;0;0;0
670381497;0;0;0;0;0
670887678;0;0;0;0;0
671393562;0;0;0;0;0
671899623;0;0;0;0;0
672405506;0;0;0;0;0
672911519;0;0;0;0;0
673417491;0;0;0;0;0
673923492;0;0;0;0;0
674429504;0;0;0;0;0
674935492;0;0;0;0;0
675442491;0;0;0;0;0
675948491;0;0;0;0;0
676454491;0;0;0;0;0
676960852;0;0;0;0;0
677466499;0;0;0;0;0
677972872;0;0;0;0;0
678478584;0;0;0;0;0
678984493;0;0;0;0;0
679490493;0;0;0;0;0
679996492;0;0;0;0;0
680502491;0;0;0;0;0
681008492;0;0;0;0;0
681514559;0;0;0;0;0
682020492;0;0;0;0;0
682526491;0;0;0;0;0
683032492;0;0;0;0;0
683538492;0;0;0;0;0
684044491;0;0;0;0;0
684550491;0;0;0;0;0
685056528;0;0;0;0;0
685562491;0;0;0;0;0
686068598;0;0;0;0;0
686574491;0;0;0;0;0
687080492;0;0;0;0;0
687586530;0;0;0;0;0
688092492;0;0;0;0;0
688598520;0;0;0;0;0
689104556;0;0;0;0;0
689611203;0;0;0;0;0
690117535;0;0;0;0;0
690623511;0;0;0;0;0
691129523;0;0;0;0;0
691635759;0;0;0;0;0
692141510;0;0;0;0;0
692647490;0;0;0;0;0
693153492;0;0;0;0;0
693660151;0;0;0;0;0
694165493;0;0;0;0;0
694671679;0;0;0;0;0
695177493;0;0;0;0;0
695683504;0;0;0;0;0
696189512;0;0;0;0;0
696696032;0;0;0;0;0
697201492;0;0;0;0;0
697707509;0;0;0;0;0
698213511;0;0;0;0;0
698719492;0;0;0;0;0
699225537;0;0;0;0;0
699731493;0;0;0;0;0
700237493;0;0;0;0;0
700743491;0;0;0;0;0
701249492;0;0;0;0;0
701755494;0;0;0;0;0
702262546;0;0;0;0;0
702768559;0;0;0;0;0
703274500;0;0;0;0;0
703781543;0;0;0;0;0
704287508;0;0;0;0;0
704793590;0;0;0;0;0
705299494;0;0;0;0;0
705805981;0;0;0;0;0
706311492;0;0;0;0;0
706817491;0;0;0;0;0
707323528;0;0;0;0;0
707829492;0;0;0;0;0
708335511;0;0;0;0;0
708841491;0;0;0;0;0
709347492;0;0;0;0;0
709853493;0;0;0;0;0
710359556;0;0;0;0;0
710865629;0;0;0;0;0
711371493;0;0;0;0;0
711877508;0;0;0;0;0
712383492;0;0;0;0;0
712889495;0;0;0;0;0
713395492;0;0;0;0;0
713901491;0;0;0;0;0
714407492;0;0;0;0;0
714913631;0;0;0;0;0
715419506;0;0;0;0;0
715925507;0;0;0;0;0
716431624;0;0;0;0;0
716937492;0;0;0;0;0
717443502;0;0;0;0;0
717950853;0;0;0;0;0
718456514;0;0;0;0;0
718962582;0;0;0;0;0
719468492;0;0;0;0;0
719974549;0;0;0;0;0
720480492;0;0;0;0;0
720986492;0;0;0;0;0
721492492;0;0;0;0;0
721998492;0;0;0;0;0
722504722;0;0;0;0;0
723010492;0;0;0;0;0
