timestamp;timestamp_sample;gyro_device_id;gyro_bias[0];gyro_bias[1];gyro_bias[2];gyro_bias_limit;gyro_bias_variance[0];gyro_bias_variance[1];gyro_bias_variance[2];accel_device_id;accel_bias[0];accel_bias[1];accel_bias[2];accel_bias_limit;accel_bias_variance[0];accel_bias_variance[1];accel_bias_variance[2];mag_device_id;mag_bias[0];mag_bias[1];mag_bias[2];mag_bias_limit;mag_bias_variance[0];mag_bias_variance[1];mag_bias_variance[2];gyro_bias_valid;gyro_bias_stable;accel_bias_valid;accel_bias_stable;mag_bias_valid;mag_bias_stable
660865569;660676588;2490378;-0.0052746907;-0.0038982453;-0.0020929251;0.15;4.2951498e-07;6.68206e-07;3.9409338e-07;2490378;0.2782172;-0.04389383;-0.022309637;0.4;0.0006489894;0.0007915375;1.8366578e-05;396809;0.15798946;-0.0073752864;-0.18444751;0.5;1.0419892e-06;1.1883353e-06;2.7475e-05;1;1;1;1;1;1
661874399;661685905;2490378;-0.0053750244;-0.0039142338;-0.0020839206;0.15;4.2681057e-07;6.7054515e-07;3.942462e-07;2490378;0.27835438;-0.044277433;-0.022395838;0.4;0.000648891;0.00078942097;1.8412902e-05;396809;0.15802014;-0.0073845196;-0.18442835;0.5;1.0410796e-06;1.1878601e-06;2.7428692e-05;1;1;1;1;1;1
662883991;662695223;2490378;-0.0055496823;-0.004167919;-0.002098083;0.15;4.2391173e-07;6.724808e-07;3.9343095e-07;2490378;0.27836826;-0.044355292;-0.022575097;0.4;0.00064876734;0.00078758405;1.8456776e-05;396809;0.15806922;-0.0072472636;-0.18407221;0.5;1.0367384e-06;1.185697e-06;2.7387401e-05;1;1;1;1;1;1
663893022;663704538;2490378;-0.0057760095;-0.0046331123;-0.0022417805;0.15;4.225922e-07;6.75637e-07;3.930223e-07;2490378;0.2781768;-0.04393386;-0.022816919;0.4;0.0006486453;0.00078627834;1.8501556e-05;396809;0.1581538;-0.0068907454;-0.18332298;0.5;1.0284136e-06;1.1785137e-06;2.7343278e-05;1;1;1;1;1;1
664902409;664713854;2490378;-0.0059045544;-0.005044059;-0.002276521;0.15;4.2190126e-07;6.791566e-07;3.9216386e-07;2490378;0.27812058;-0.043861568;-0.0229865;0.4;0.0006483323;0.00078468566;1.8543145e-05;396809;0.1581929;-0.006669112;-0.18285866;0.5;1.022551e-06;1.1743458e-06;2.7306904e-05;1;1;1;1;1;1
665911479;665723170;2490378;-0.0059499023;-0.005176214;-0.0022235916;0.15;4.2344212e-07;6.8327046e-07;3.9260968e-07;2490378;0.27828524;-0.04410534;-0.023006722;0.4;0.0006471173;0.00078020187;1.858397e-05;396809;0.15821843;-0.0066662943;-0.18291679;0.5;1.0205454e-06;1.1738676e-06;2.7273485e-05;1;1;1;1;1;1
666921329;666732486;2490378;-0.006034771;-0.0051787524;-0.0022847124;0.15;4.2466988e-07;6.868555e-07;3.9243395e-07;2490378;0.2782512;-0.043886654;-0.023020338;0.4;0.00064705714;0.0007798251;1.8630239e-05;396809;0.15819061;-0.0066888155;-0.18315417;0.5;1.0195465e-06;1.1696059e-06;2.720171e-05;1;1;1;1;1;1
667930345;667741802;2490378;-0.006150952;-0.0052268133;-0.00240534;0.15;4.2732782e-07;6.91884e-07;3.9304544e-07;2490378;0.2779626;-0.04338864;-0.023059672;0.4;0.000647007;0.0007796004;1.868233e-05;396809;0.15807398;-0.006697288;-0.18345018;0.5;1.0168125e-06;1.1597031e-06;2.7045737e-05;1;1;1;1;1;1
668939923;668751118;2490378;-0.0062285853;-0.005171991;-0.0025564213;0.15;4.2959678e-07;6.976812e-07;3.9299493e-07;2490378;0.2777563;-0.04304291;-0.02301423;0.4;0.0006469242;0.0007793172;1.872805e-05;396809;0.15797274;-0.006623514;-0.1835412;0.5;1.0122482e-06;1.14717e-06;2.685434e-05;1;1;1;1;1;1
669948961;669760434;2490378;-0.0063068843;-0.0051437845;-0.0026784248;0.15;4.3188592e-07;7.047862e-07;3.933595e-07;2490378;0.27771857;-0.04281241;-0.022971999;0.4;0.00064681924;0.0007789729;1.8768636e-05;396809;0.15785125;-0.0065429974;-0.18309028;0.5;1.0071947e-06;1.1345214e-06;2.6450534e-05;1;1;1;1;1;1
