timestamp;timestamp_sample;latitude_deg;longitude_deg;altitude_msl_m;altitude_ellipsoid_m;time_utc_usec;device_id;s_variance_m_s;c_variance_rad;eph;epv;hdop;vdop;noise_per_ms;jamming_indicator;vel_m_s;vel_n_m_s;vel_e_m_s;vel_d_m_s;cog_rad;timestamp_time_relative;heading;heading_offset;heading_accuracy;rtcm_injection_rate;automatic_gain_control;fix_type;jamming_state;spoofing_state;vel_ned_valid;satellites_used;selected_rtcm_instance;rtcm_crc_failed;rtcm_msg_used
495070476;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3766242.0;99.99;99.99;78;32;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2106;0;0;1;0;0;0;0;0
496070505;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3766306.8;99.99;99.99;78;33;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2106;0;0;1;0;0;0;0;0
497070498;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3766371.8;99.99;99.99;79;36;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2106;0;0;1;0;0;0;0;0
498070476;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3766437.0;99.99;99.99;94;37;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2106;0;0;1;0;0;0;0;0
499070801;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3766502.2;99.99;99.99;94;35;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2106;0;0;1;0;0;0;0;0
500070473;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3766568.0;99.99;99.99;93;33;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2106;0;0;1;0;0;0;0;0
501070475;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3766634.2;99.99;99.99;86;38;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2106;0;0;1;0;0;0;0;0
502071536;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3766700.5;99.99;99.99;86;15;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2106;0;0;1;0;0;0;0;0
503069470;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3766767.0;99.99;99.99;81;32;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2106;0;0;1;0;0;0;0;0
504069469;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3766833.5;99.99;99.99;75;30;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2106;0;0;1;0;0;0;0;0
505069470;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3766900.8;99.99;99.99;76;23;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2106;0;0;1;0;0;0;0;0
506070630;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3766968.2;99.99;99.99;75;38;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2106;0;0;1;0;0;0;0;0
507070469;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3767035.5;99.99;99.99;75;14;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2106;0;0;1;0;0;0;0;0
508070484;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3767103.8;99.99;99.99;75;32;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2106;0;0;1;0;0;0;0;0
509069548;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3767171.8;99.99;99.99;75;23;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2106;0;0;1;0;0;0;0;0
510070432;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3767240.0;99.99;99.99;75;26;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2106;0;0;1;0;0;0;0;0
511069470;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3767308.8;99.99;99.99;75;33;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2106;0;0;1;0;0;0;0;0
512069469;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3767377.5;99.99;99.99;74;29;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2106;0;0;1;0;0;0;0;0
513069470;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3767446.8;99.99;99.99;74;24;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2106;0;0;1;0;0;0;0;0
514069483;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3767516.0;99.99;99.99;74;30;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2106;0;0;1;0;0;0;0;0
515069469;0;0.0;0.0;-17.0;0.0;0;11075589;999.00006;3.1415925;4294967.5;3767586.0;99.99;99.99;74;24;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2106;0;0;1;0;0;0;0;0
516069511;0;-61.800446099999995;-57.367052699999995;16561.321;16578.383;0;11075589;999.00006;3.1415925;4294967.5;3767655.8;99.99;99.99;74;28;0.0;0.0;0.0;0.0;0.0;0;nan;0.0;0.0;0.0;2106;0;0;1;0;0;0;0;0
