timestamp;timestamp_sample;hover_thrust;hover_thrust_var;accel_innov;accel_innov_var;accel_innov_test_ratio;accel_noise_var;valid
581490846;581490494;0.4840947;0.009050727;-0.1751492;43803.613;7.7815095e-08;4.218801;0
581598820;581598509;0.48408663;0.00904208;-0.09371066;43783.31;2.2285732e-08;4.2068048;0
581697925;581697431;0.48407754;0.009034205;-0.32878923;43756.97;2.7450196e-07;4.198205;0
581796867;581796409;0.48406976;0.00902636;-0.47431946;43670.676;5.7241294e-07;4.1820903;0
581895838;581895370;0.4840532;0.009018546;1.1312679;43703.887;3.2536316e-06;4.177288;0
581994725;581994340;0.4840416;0.009010733;-0.5440805;43541.395;7.5540777e-07;4.1639447;0
582093826;582093357;0.484037;0.009002942;-0.6389974;43709.152;1.0379663e-06;4.1734495;0
582192777;582192281;0.48402673;0.008995887;0.6229635;43708.176;9.86552e-07;4.1582956;0
582291741;582291251;0.48401767;0.008988142;-0.011391193;43755.11;3.2950886e-10;4.1555495;0
582390689;582390221;0.48400766;0.008980396;0.21489488;43728.285;1.1734029e-07;4.14214;0
582498703;582498236;0.48399183;0.008972065;0.5777881;43665.637;8.4948346e-07;4.12978;0
582597663;582597159;0.4839633;0.00896453;-0.30715585;43590.54;2.4048214e-07;4.1318874;0
582696450;582696130;0.4839699;0.008956893;-0.3583653;43822.383;3.2562176e-07;4.1473684;0
582795562;582795100;0.4839649;0.008949243;-0.18765515;43809.543;8.931198e-08;4.1299596;0
582896118;582895616;0.48394078;0.008941643;-0.16450828;43857.6;6.856274e-08;4.124679;0
582993570;582993086;0.48391244;0.008934673;1.8539331;43786.434;8.721799e-06;4.1209517;0
583092592;583092019;0.48387885;0.008928135;1.2663245;43672.98;4.079761e-06;4.098141;0
583191499;583190988;0.483836;0.008921862;2.5473485;43324.44;1.6641838e-05;4.07446;0
583290330;583289950;0.48377663;0.0089161685;0.6390456;43508.43;1.0429122e-06;4.065612;0
583398545;583397974;0.48369777;0.008910535;2.642295;43582.99;1.7799304e-05;4.081054;0
583497458;583496888;0.4836305;0.008905539;1.1306121;43696.773;3.2503895e-06;4.0680175;0
583596640;583595858;0.48357254;0.0089003295;1.329704;43378.38;4.528915e-06;4.0247593;0
583695319;583694828;0.48348495;0.008895178;3.435225;43489.44;3.0149773e-05;4.061367;0
583794328;583793799;0.48340285;0.008890155;1.4930494;44332.35;5.587083e-06;4.1264586;0
583893448;583892820;0.4833661;0.008885037;0.43104005;43998.062;4.692013e-07;4.0916853;0
583992137;583991739;0.48328686;0.008880185;3.973999;44115.914;3.9775692e-05;4.1050496;0
584091058;584090710;0.4832003;0.008875317;0.6961918;44826.434;1.2013819e-06;4.1208467;0
584190028;584189681;0.4831601;0.008870719;1.8307284;45032.176;8.26956e-06;4.140418;0
584298215;584297695;0.48308024;0.008865094;1.0859468;45168.62;2.9009332e-06;4.1635966;0
584397011;584396617;0.48303694;0.008859502;0.98719996;44715.27;2.4216529e-06;4.119106;0
584496337;584495588;0.4829825;0.008853825;2.5234165;44618.617;1.5856936e-05;4.099733;0
584594903;584594558;0.4829404;0.008848063;0.3106662;44261.094;2.4228322e-07;4.0561485;0
584693925;584693533;0.48291028;0.008841376;-0.10919809;44300.52;2.9907408e-08;4.0622206;0
584793349;584792549;0.4828648;0.008835129;0.9824448;44088.875;2.432455e-06;4.0323834;0
584891850;584891474;0.48282465;0.0088289995;1.1716288;43605.03;3.4978486e-06;3.9802244;0
584990967;584990440;0.4827781;0.008822938;1.3251977;43354.06;4.5007932e-06;3.949389;0
585090014;585089410;0.4827206;0.008817196;2.3507986;42806.137;1.4344398e-05;3.898262;0
585197959;585197428;0.4826597;0.008811016;0.890292;42427.69;2.0757404e-06;3.8564806;0
585296932;585296348;0.48261023;0.008804952;0.24682689;41927.37;1.614525e-07;3.811762;0
585396129;585395318;0.4825659;0.008798582;0.82436466;41727.656;1.8095569e-06;3.7850466;0
585494746;585494287;0.48253477;0.0087916;1.5682018;41838.03;6.5311574e-06;3.7921708;0
585593737;585593258;0.48251054;0.008784444;0.33695847;41840.773;3.015161e-07;3.7917957;0
585693062;585692274;0.48248348;0.008777436;0.52621686;41778.977;7.364262e-07;3.7795095;0
585791768;585791199;0.48245072;0.0087705925;1.9101946;41832.656;9.69164e-06;3.780448;0
585890721;585890169;0.48242182;0.008763804;0.8137078;41940.24;1.7541372e-06;3.7830195;0
585998669;585998160;0.48238936;0.008756365;1.3011152;41789.473;4.501135e-06;3.765031;0
586097614;586097151;0.48236042;0.008749494;0.631467;41560.4;1.0660536e-06;3.7407105;0
586196585;586196074;0.48230088;0.00874417;1.736656;41512.56;8.072453e-06;3.7326355;0
586295543;586295044;0.4822643;0.008737464;1.6921779;41762.355;7.6184137e-06;3.7572002;0
586394529;586394015;0.48228508;0.008729313;-2.7227106;44072.31;1.868937e-05;4.018529;0
586493415;586492984;0.48227885;0.008721608;-0.7297261;45333.953;1.3051297e-06;4.0789666;0
586592351;586592003;0.48227686;0.008714388;2.1842835;46175.957;1.1480468e-05;4.145626;0
