timestamp;timestamp_sample;switch_changes;mode_slot;arm_switch;return_switch;loiter_switch;offboard_switch;kill_switch;gear_switch;transition_switch;photo_switch;video_switch;payload_power_switch;engage_main_motor_switch
681786246;681762732;7;0;0;0;0;0;3;0;0;0;0;0;0
682798489;682774952;7;0;0;0;0;0;3;0;0;0;0;0;0
683810627;683787100;7;0;0;0;0;0;3;0;0;0;0;0;0
684822853;684799289;7;0;0;0;0;0;3;0;0;0;0;0;0
685834991;685811603;7;0;0;0;0;0;3;0;0;0;0;0;0
686847203;686823690;7;0;0;0;0;0;3;0;0;0;0;0;0
687859391;687835867;7;0;0;0;0;0;3;0;0;0;0;0;0
688871567;688848036;7;0;0;0;0;0;3;0;0;0;0;0;0
689883775;689860257;7;0;0;0;0;0;3;0;0;0;0;0;0
690895934;690872421;7;0;0;0;0;0;3;0;0;0;0;0;0
691908105;691884650;7;0;0;0;0;0;3;0;0;0;0;0;0
692920450;692896776;7;0;0;0;0;0;3;0;0;0;0;0;0
693932487;693908998;7;0;0;0;0;0;3;0;0;0;0;0;0
694944684;694921150;7;0;0;0;0;0;3;0;0;0;0;0;0
695956867;695933331;7;0;0;0;0;0;3;0;0;0;0;0;0
696969038;696945544;7;0;0;0;0;0;3;0;0;0;0;0;0
697981244;697957707;7;0;0;0;0;0;3;0;0;0;0;0;0
698993430;698969886;7;0;0;0;0;0;3;0;0;0;0;0;0
700005598;699982074;7;0;0;0;0;0;3;0;0;0;0;0;0
701017829;700994255;7;0;0;0;0;0;3;0;0;0;0;0;0
702030016;702006442;7;0;0;0;0;0;3;0;0;0;0;0;0
703042149;703018645;7;0;0;0;0;0;3;0;0;0;0;0;0
704054469;704030816;7;0;0;0;0;0;3;0;0;0;0;0;0
705066517;705043107;7;0;0;0;0;0;3;0;0;0;0;0;0
706078733;706055182;7;0;0;0;0;0;3;0;0;0;0;0;0
707090945;707067384;7;0;0;0;0;0;3;0;0;0;0;0;0
708103098;708079551;7;0;0;0;0;0;3;0;0;0;0;0;0
709115252;709091808;7;0;0;0;0;0;3;0;0;0;0;0;0
710127496;710103926;7;0;0;0;0;0;3;0;0;0;0;0;0
711139649;711116127;7;0;0;0;0;0;3;0;0;0;0;0;0
712152054;712128292;7;0;0;0;0;0;3;0;0;0;0;0;0
713163996;713140473;7;0;0;0;0;0;3;0;0;0;0;0;0
714176173;714152696;7;0;0;0;0;0;3;0;0;0;0;0;0
715188383;715164845;7;0;0;0;0;0;3;0;0;0;0;0;0
716200556;716177026;7;0;0;0;0;0;3;0;0;0;0;0;0
717212728;717189286;7;0;0;0;0;0;3;0;0;0;0;0;0
718224932;718201390;7;0;0;0;0;0;3;0;0;0;0;0;0
719237146;719213581;7;0;0;0;0;0;3;0;0;0;0;0;0
720249273;720225762;7;0;0;0;0;0;3;0;0;0;0;0;0
721261594;721237944;7;0;0;0;0;0;3;0;0;0;0;0;0
722273660;722250130;7;0;0;0;0;0;3;0;0;0;0;0;0
723285839;723262313;7;0;0;0;0;0;3;0;0;0;0;0;0
724298207;724274541;7;0;0;0;0;0;3;0;0;0;0;0;0
725310263;725286676;7;0;0;0;0;0;3;0;0;0;0;0;0
726322382;726298935;7;0;0;0;0;0;3;0;0;0;0;0;0
727334597;727311044;7;0;0;0;0;0;3;0;0;0;0;0;0
728346741;728323231;7;0;0;0;0;0;3;0;0;0;0;0;0
729358940;729335407;7;0;0;0;0;0;3;0;0;0;0;0;0
730371103;730347589;7;0;0;0;0;0;3;0;0;0;0;0;0
731383303;731359800;7;0;0;0;0;0;3;0;0;0;0;0;0
732395507;732371956;7;0;0;0;0;0;3;0;0;0;0;0;0
733407659;733384132;7;0;0;0;0;0;3;0;0;0;0;0;0
734419867;734396322;7;0;0;0;0;0;3;0;0;0;0;0;0
735432102;735408504;7;0;0;0;0;0;3;0;0;0;0;0;0
736444274;736420684;7;0;0;0;0;0;3;0;0;0;0;0;0
737456389;737432867;7;0;0;0;0;0;3;0;0;0;0;0;0
738468590;738445075;7;0;0;0;0;0;3;0;0;0;0;0;0
739480751;739457241;7;0;0;0;0;0;3;0;0;0;0;0;0
740492969;740469412;7;0;0;0;0;0;3;0;0;0;0;0;0
741505123;741481649;7;0;0;0;0;0;3;0;0;0;0;0;0
742517316;742493800;7;0;0;0;0;0;3;0;0;0;0;0;0
743529697;743505963;7;0;0;0;0;0;3;0;0;0;0;0;0
744541728;744518145;7;0;0;0;0;0;3;0;0;0;0;0;0
745553848;745530351;7;0;0;0;0;0;3;0;0;0;0;0;0
746566100;746542509;7;0;0;0;0;0;3;0;0;0;0;0;0
747578211;747554699;7;0;0;0;0;0;3;0;0;0;0;0;0
748590401;748566928;7;0;0;0;0;0;3;0;0;0;0;0;0
749602584;749579055;7;0;0;0;0;0;3;0;0;0;0;0;0
750614841;750591236;7;0;0;0;0;0;3;0;0;0;0;0;0
751626967;751603497;7;0;0;0;0;0;3;0;0;0;0;0;0
752639149;752615596;7;0;0;0;0;0;3;0;0;0;0;0;0
753651305;753627779;7;0;0;0;0;0;3;0;0;0;0;0;0
754663486;754639962;7;0;0;0;0;0;3;0;0;0;0;0;0
755675804;755652149;7;0;0;0;0;0;3;0;0;0;0;0;0
756687840;756664350;7;0;0;0;0;0;3;0;0;0;0;0;0
757700024;757676511;7;0;0;0;0;0;3;0;0;0;0;0;0
758712214;758688768;7;0;0;0;0;0;3;0;0;0;0;0;0
759724414;759700866;7;0;0;0;0;0;3;0;0;0;0;0;0
760736568;760713094;7;0;0;0;0;0;3;0;0;0;0;0;0
761748829;761725239;7;0;0;0;0;0;3;0;0;0;0;0;0
762760938;762737475;7;0;0;0;0;0;3;0;0;0;0;0;0
763773180;763749599;7;0;0;0;0;0;3;0;0;0;0;0;0
764785302;764761790;7;0;0;0;0;0;3;0;0;0;0;0;0
765797529;765773973;7;0;0;0;0;0;3;0;0;0;0;0;0
766809710;766786143;7;0;0;0;0;0;3;0;0;0;0;0;0
767821864;767798329;7;0;0;0;0;0;3;0;0;0;0;0;0
768834092;768810512;7;0;0;0;0;0;3;0;0;0;0;0;0
769846279;769822696;7;0;0;0;0;0;3;0;0;0;0;0;0
770858399;770834873;7;0;0;0;0;0;3;0;0;0;0;0;0
771870586;771847099;7;0;0;0;0;0;3;0;0;0;0;0;0
772882790;772859247;7;0;0;0;0;0;3;0;0;0;0;0;0
773894966;773871431;7;0;0;0;0;0;3;0;0;0;0;0;0
774907415;774883611;7;0;0;0;0;0;3;0;0;0;0;0;0
775919317;775895862;7;0;0;0;0;0;3;0;0;0;0;0;0
776931531;776907973;7;0;0;0;0;0;3;0;0;0;0;0;0
777943674;777920257;7;0;0;0;0;0;3;0;0;0;0;0;0
778955990;778932343;7;0;0;0;0;0;3;0;0;0;0;0;0
