timestamp;rollspeed_integ;pitchspeed_integ;yawspeed_integ
1347041134;-0.0055656927;-0.069353156;0.009974506
1347240586;-0.005938813;-0.07198411;0.010442094
1347440084;-0.008547791;-0.073122144;0.01045736
1347639484;-0.010529001;-0.07421462;0.01037027
1347838938;-0.00971673;-0.07464575;0.010087157
1348038388;-0.010083185;-0.07440947;0.010144588
1348242385;-0.009931103;-0.07376249;0.010632093
1348441847;-0.011653467;-0.07474968;0.011346821
1348639780;-0.00955764;-0.07452887;0.011185021
1348840725;-0.010165049;-0.07357114;0.010513546
1349040128;-0.008102319;-0.072734885;0.00989499
1349239691;-0.0061162184;-0.07261855;0.009167803
1349439063;-0.0055259177;-0.07535527;0.008353981
1349641475;-0.0055507203;-0.08023816;0.007696214
1349840927;-0.0062791193;-0.07825092;0.0078418655
1350040377;-0.0033046985;-0.0770024;0.0086592
1350239830;-0.005288202;-0.06886929;0.009002549
1350439321;-0.009787644;-0.066483006;0.00935103
1350638726;-0.0049183127;-0.06959012;0.009101975
1350838173;-0.008873413;-0.07376018;0.00838799
1351042124;-0.0083856685;-0.07462993;0.007476669
1351241624;-0.0035829386;-0.07287657;0.0067574386
1351441021;-0.007845661;-0.07161212;0.006573579
1351640474;-0.004547158;-0.07012136;0.006491732
1351839927;-0.0013187369;-0.07115857;0.0065170443
1352039369;-0.00095046253;-0.07289728;0.006542722
1352238868;-0.004113806;-0.07210264;0.0064704535
1352441315;-0.0055747917;-0.072429165;0.0069624237
1352640717;-0.0051244334;-0.07136712;0.008064058
1352840167;-0.00628604;-0.07082535;0.0096063595
1353039642;-0.008319589;-0.0687706;0.009899361
1353239067;-0.007392922;-0.07002029;0.0095983045
1353438562;-0.0037831876;-0.07269404;0.009197997
1353639467;-0.004672086;-0.06950032;0.008834181
1353838913;-0.005317518;-0.06832279;0.008550915
1354038408;-0.0034313821;-0.07390649;0.008377845
1354240862;-0.005626739;-0.07302955;0.008641422
1354440260;-0.007291748;-0.06842847;0.008513145
1354639715;-0.0065637;-0.07501807;0.008750868
1354839157;-0.0074157016;-0.06890878;0.009350438
1355038608;-0.0069164005;-0.067892306;0.009450333
1355241055;-0.0060202205;-0.07238179;0.0096878
1355440592;-0.008258379;-0.068118624;0.009952234
1355641456;-0.0068045533;-0.0678013;0.009921927
1355840901;-0.0076055666;-0.07294246;0.009881366
1356040396;-0.013006253;-0.07023099;0.010250059
1356239800;-0.012059098;-0.06767968;0.010707081
1356439248;-0.007027902;-0.06599497;0.010970563
1356641696;-0.0053018555;-0.06547289;0.010911427
1356841147;-0.008089773;-0.065084316;0.010713542
1357040595;-0.009064398;-0.0718658;0.01075222
1357240090;-0.0026860011;-0.07091139;0.009837438
1357439530;-0.0035968637;-0.067686304;0.008639736
1357639318;-0.007175103;-0.071607634;0.007219465
1357838395;-0.005675523;-0.07425458;0.0061146636
1358042389;-0.006412806;-0.07072973;0.0062231584
1358241791;-0.007576911;-0.07240292;0.0067327614
1358441234;-0.0082048895;-0.07276712;0.0076478785
1358640684;-0.0049538985;-0.07013141;0.008230057
1358840134;-0.0074772504;-0.07340833;0.008431265
1359039629;-0.0069547063;-0.07500955;0.008010102
1359239030;-0.01264793;-0.07349674;0.0072244485
1359438850;-0.015545271;-0.073949784;0.0067701098
1359641314;-0.014391687;-0.07424249;0.0071747825
1359840468;-0.012535641;-0.07195859;0.008234497
1360039824;-0.011878074;-0.06652004;0.008743756
